Judul Berita,Link Berita,Link Gambar,Tema Berita
"Link Pendaftaran CPNS, Formasi, Syarat, dan Jadwalnya",https://www.cnbcindonesia.com/tech/20240518081848-37-539227/link-pendaftaran-cpns-formasi-syarat-dan-jadwalnya,https://awsimages.detik.net.id/visual/2023/10/10/pendaftaran-cpns-diperpanjang-ini-5-instansi-sepi-peminat_43.jpeg?w=152&q=90,Kemenkes
"7 Lembaga Ini Buka Formasi Jumbo CPNS, Cek Cara Daftarnya",https://www.cnbcindonesia.com/news/20240513092412-4-537502/7-lembaga-ini-buka-formasi-jumbo-cpns-cek-cara-daftarnya,https://awsimages.detik.net.id/visual/2024/04/02/menteri-panrb-abdullah-azwar-anas-menghimbau-untuk-semua-asn-tidak-menggunakan-kendaraan-dinas-untuk-mudik_43.png?w=152&q=90,Kemenkes
"Lowongan CPNS 2024 Dibuka Mei Ini, Cek Syarat dan Link Pendaftaran",https://www.cnbcindonesia.com/news/20240511134209-4-537245/lowongan-cpns-2024-dibuka-mei-ini-cek-syarat-dan-link-pendaftaran,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns_43.jpeg?w=152&q=90,Kemenkes
"Bangun 4 RS Raksasa, Kemenkes Buka Lowongan Kerja Besar-besaran!",https://www.cnbcindonesia.com/news/20240508174425-4-536821/bangun-4-rs-raksasa-kemenkes-buka-lowongan-kerja-besar-besaran,https://awsimages.detik.net.id/visual/2024/05/07/infografis-krisis-dokter-rasio-dokter-per-1000-penduduk-2024_43.jpeg?w=152&q=90,Kemenkes
"Link Pendaftaran CPNS 2024, Jadwal dan Formasi",https://www.cnbcindonesia.com/tech/20240508132533-37-536697/link-pendaftaran-cpns-2024-jadwal-dan-formasi,https://awsimages.detik.net.id/visual/2023/11/09/pelaksanaan-tes-seleksi-kompetensi-dasar-skd-calon-pegawai-negeri-sipil-cpns-mulai-dilaksanakan-hari-ini-kamis-9112023-salah-s_43.jpeg?w=152&q=90,Kemenkes
"Catat! Ini Syarat, Jadwal, Formasi dan Link Pendaftaran CPNS 2024",https://www.cnbcindonesia.com/tech/20240504173155-37-535759/catat-ini-syarat-jadwal-formasi-dan-link-pendaftaran-cpns-2024,https://awsimages.detik.net.id/visual/2023/08/29/lengkap-formasi-syarat-cara-daftar-cpns-pppk-2023-1_43.jpeg?w=152&q=90,Kemenkes
"CASN 2024 Dibuka Mei, Cek Formasinya di Sini!",https://www.cnbcindonesia.com/news/20240503100129-4-535455/casn-2024-dibuka-mei-cek-formasinya-di-sini,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-15_43.jpeg?w=152&q=90,Kemenkes
"Link Pendaftaran CPNS 2024, Cek Jadwal, Formasi, dan Syaratnya!",https://www.cnbcindonesia.com/tech/20240503103419-37-535470/link-pendaftaran-cpns-2024-cek-jadwal-formasi-dan-syaratnya,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-13_43.jpeg?w=152&q=90,Kemenkes
Terbaru! Kementerian Lembaga Buka Lowongan CASN Besar-besaran 2024,https://www.cnbcindonesia.com/news/20240430120925-4-534602/terbaru-kementerian-lembaga-buka-lowongan-casn-besar-besaran-2024,https://awsimages.detik.net.id/visual/2023/10/10/pendaftaran-cpns-diperpanjang-ini-5-instansi-sepi-peminat_43.jpeg?w=152&q=90,Kemenkes
Terbaru! Formasi CPNS & PPPK 2024 di 7 Kementerian,https://www.cnbcindonesia.com/news/20240425060824-4-533212/terbaru-formasi-cpns-pppk-2024-di-7-kementerian,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120_43.jpeg?w=152&q=90,Kemenkes
"3 Kementerian Buka Lowongan CPNS & PPPK Besar-besaran, Ini Daftarnya",https://www.cnbcindonesia.com/news/20240418062035-4-531166/3-kementerian-buka-lowongan-cpns-pppk-besar-besaran-ini-daftarnya,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-8_43.jpeg?w=152&q=90,Kemenkes
"Lowongan CPNS & PPPK Kemenkes 2024, Rincian Formasi & Link Daftar!",https://www.cnbcindonesia.com/news/20240403112056-4-527820/lowongan-cpns-pppk-kemenkes-2024-rincian-formasi-link-daftar,https://awsimages.detik.net.id/visual/2023/10/10/pendaftaran-cpns-diperpanjang-ini-5-instansi-sepi-peminat_43.jpeg?w=152&q=90,Kemenkes
Menkes Buka Lowongan 1.000 PNS & PPPK Buat Penempatan di IKN!,https://www.cnbcindonesia.com/news/20240402110108-4-527412/menkes-buka-lowongan-1000-pns-pppk-buat-penempatan-di-ikn,https://awsimages.detik.net.id/visual/2024/03/22/cek-ini-daftar-asn-dari-25-instansi-yang-siap-pindah-ke-ikn_43.png?w=152&q=90,Kemenkes
"Kemenkes Buka Lowongan 23.200 CPNS & PPPK di 2024, Ini Lengkapnya!",https://www.cnbcindonesia.com/news/20240402094106-4-527371/kemenkes-buka-lowongan-23200-cpns-pppk-di-2024-ini-lengkapnya,https://awsimages.detik.net.id/visual/2023/09/15/stetoskop_43.jpeg?w=152&q=90,Kemenkes
Pengumuman! Menkes Buka 5.500 Lowongan Dokter dan Nakes,https://www.cnbcindonesia.com/news/20240401055938-4-526905/pengumuman-menkes-buka-5500-lowongan-dokter-dan-nakes,https://awsimages.detik.net.id/visual/2023/12/23/menteri-kesehatan-budi-gunadi-sadikin-dok-kemenkes_43.jpeg?w=152&q=90,Kemenkes
